Name,miRNA
ADNP|ENST00000621696.5|5,ADNP:miR-19-3p
ADNP|ENST00000621696.5|5,ADNP:miR-21-5p/590-5p
ADNP|ENST00000621696.5|5,ADNP:miR-28-3p
ADNP|ENST00000621696.5|5,ADNP:miR-369-3p
ADNP|ENST00000621696.5|5,ADNP:miR-374-5p
ADNP|ENST00000621696.5|5,ADNP:miR-381-3p
ADNP|ENST00000621696.5|5,ADNP:miR-455-5p
ADNP|ENST00000621696.5|5,ADNP:miR-493-5p
ADNP|ENST00000621696.5|5,ADNP:miR-655-3p
ADNP|ENST00000621696.5|6,ADNP:miR-103-3p/107
ADNP|ENST00000621696.5|6,ADNP:miR-21-5p/590-5p
ADNP|ENST00000621696.5|6,ADNP:miR-22-3p
ADNP|ENST00000621696.5|6,ADNP:miR-369-3p
ADNP|ENST00000621696.5|6,ADNP:miR-374-5p
ADNP|ENST00000621696.5|6,ADNP:miR-381-3p
ADNP|ENST00000621696.5|6,ADNP:miR-411-5p.2
ADNP|ENST00000621696.5|6,ADNP:miR-505-3p.2
ADNP|ENST00000621696.5|6,ADNP:miR-655-3p
ADNP|ENST00000621696.5|7,ADNP:miR-103-3p/107
ADNP|ENST00000621696.5|7,ADNP:miR-22-3p
ADNP|ENST00000621696.5|7,ADNP:miR-323-3p
ADNP|ENST00000621696.5|7,ADNP:miR-411-5p.2
ADNP|ENST00000621696.5|7,ADNP:miR-505-3p.2
ADNP|ENST00000621696.5|8,ADNP:miR-323-3p
AFF2|ENST00000370460.7|1,AFF2:let-7-5p/98-5p
AFF2|ENST00000370460.7|1,AFF2:miR-142-3p.1
AFF2|ENST00000370460.7|22,AFF2:miR-132-3p/212-3p
AFF2|ENST00000370460.7|23,AFF2:miR-132-3p/212-3p
AFF2|ENST00000370460.7|2,AFF2:miR-142-3p.1
AFG3L2|ENST00000269143.8|4,AFG3L2:miR-181-5p
AFG3L2|ENST00000269143.8|4,AFG3L2:miR-186-5p
AFG3L2|ENST00000269143.8|4,AFG3L2:miR-369-3p
AFG3L2|ENST00000269143.8|4,AFG3L2:miR-655-3p
AHDC1|ENST00000673934.1|2,AHDC1:miR-138-5p
AHDC1|ENST00000673934.1|2,AHDC1:miR-148-3p/152-3p
AHDC1|ENST00000673934.1|2,AHDC1:miR-493-5p
AHDC1|ENST00000673934.1|3,AHDC1:miR-140-3p.2
AHDC1|ENST00000673934.1|3,AHDC1:miR-144-3p
AHDC1|ENST00000673934.1|3,AHDC1:miR-148-3p/152-3p
AHDC1|ENST00000673934.1|3,AHDC1:miR-374-5p
AHDC1|ENST00000673934.1|4,AHDC1:miR-140-3p.2
AHDC1|ENST00000673934.1|4,AHDC1:miR-144-3p
AHDC1|ENST00000673934.1|4,AHDC1:miR-374-5p
AHDC1|ENST00000673934.1|4,AHDC1:miR-655-3p
AHDC1|ENST00000673934.1|4,AHDC1:miR-9-5p
AHDC1|ENST00000673934.1|5,AHDC1:miR-129-5p
AHDC1|ENST00000673934.1|5,AHDC1:miR-140-3p.2
AHDC1|ENST00000673934.1|5,AHDC1:miR-374-5p
AHDC1|ENST00000673934.1|5,AHDC1:miR-655-3p
AHDC1|ENST00000673934.1|5,AHDC1:miR-9-5p
AKT3|ENST00000673466.1|10,AKT3:miR-212-5p
AKT3|ENST00000673466.1|11,AKT3:miR-125-5p
AKT3|ENST00000673466.1|11,AKT3:miR-135-5p
AKT3|ENST00000673466.1|11,AKT3:miR-153-3p
AKT3|ENST00000673466.1|11,AKT3:miR-448
AKT3|ENST00000673466.1|12,AKT3:miR-125-5p
AKT3|ENST00000673466.1|12,AKT3:miR-135-5p
AKT3|ENST00000673466.1|12,AKT3:miR-153-3p
AKT3|ENST00000673466.1|12,AKT3:miR-29-3p
AKT3|ENST00000673466.1|12,AKT3:miR-448
AKT3|ENST00000673466.1|13,AKT3:miR-224-5p
AKT3|ENST00000673466.1|13,AKT3:miR-29-3p
AKT3|ENST00000673466.1|14,AKT3:miR-22-3p
AKT3|ENST00000673466.1|14,AKT3:miR-224-5p
AKT3|ENST00000673466.1|14,AKT3:miR-365-3p
AKT3|ENST00000673466.1|15,AKT3:miR-22-3p
AKT3|ENST00000673466.1|15,AKT3:miR-365-3p
AKT3|ENST00000673466.1|16,AKT3:miR-494-3p
AKT3|ENST00000673466.1|1,AKT3:miR-151-3p
AKT3|ENST00000673466.1|1,AKT3:miR-15-5p/16-5p/195-5p/424-5p/497-5p
AKT3|ENST00000673466.1|1,AKT3:miR-374-5p
AKT3|ENST00000673466.1|1,AKT3:miR-503-5p
AKT3|ENST00000673466.1|21,AKT3:miR-132-3p/212-3p
AKT3|ENST00000673466.1|21,AKT3:miR-142-3p.2
AKT3|ENST00000673466.1|21,AKT3:miR-320
AKT3|ENST00000673466.1|22,AKT3:miR-101-3p.1
AKT3|ENST00000673466.1|22,AKT3:miR-132-3p/212-3p
AKT3|ENST00000673466.1|22,AKT3:miR-142-3p.2
AKT3|ENST00000673466.1|22,AKT3:miR-15-5p/16-5p/195-5p/424-5p/497-5p
AKT3|ENST00000673466.1|22,AKT3:miR-320
AKT3|ENST00000673466.1|22,AKT3:miR-503-5p
AKT3|ENST00000673466.1|22,AKT3:miR-665
AKT3|ENST00000673466.1|23,AKT3:miR-101-3p.1
AKT3|ENST00000673466.1|23,AKT3:miR-15-5p/16-5p/195-5p/424-5p/497-5p
AKT3|ENST00000673466.1|23,AKT3:miR-203a-3p.1
AKT3|ENST00000673466.1|23,AKT3:miR-214-5p
AKT3|ENST00000673466.1|23,AKT3:miR-320
AKT3|ENST00000673466.1|23,AKT3:miR-340-5p
AKT3|ENST00000673466.1|23,AKT3:miR-503-5p
AKT3|ENST00000673466.1|23,AKT3:miR-665
AKT3|ENST00000673466.1|24,AKT3:miR-203a-3p.1
AKT3|ENST00000673466.1|24,AKT3:miR-28-3p
AKT3|ENST00000673466.1|24,AKT3:miR-320
AKT3|ENST00000673466.1|24,AKT3:miR-340-5p
AKT3|ENST00000673466.1|24,AKT3:miR-362-5p/500b-5p
AKT3|ENST00000673466.1|24,AKT3:miR-582-5p
AKT3|ENST00000673466.1|24,AKT3:miR-655-3p
AKT3|ENST00000673466.1|25,AKT3:miR-302c-3p.2/520-3p
AKT3|ENST00000673466.1|25,AKT3:miR-362-5p/500b-5p
AKT3|ENST00000673466.1|25,AKT3:miR-489-3p
AKT3|ENST00000673466.1|25,AKT3:miR-582-5p
AKT3|ENST00000673466.1|25,AKT3:miR-655-3p
AKT3|ENST00000673466.1|26,AKT3:miR-302c-3p.2/520-3p
AKT3|ENST00000673466.1|26,AKT3:miR-489-3p
AKT3|ENST00000673466.1|28,AKT3:miR-7-5p
AKT3|ENST00000673466.1|29,AKT3:miR-7-5p
AKT3|ENST00000673466.1|2,AKT3:miR-151-3p
AKT3|ENST00000673466.1|2,AKT3:miR-15-5p/16-5p/195-5p/424-5p/497-5p
AKT3|ENST00000673466.1|2,AKT3:miR-374-5p
AKT3|ENST00000673466.1|2,AKT3:miR-503-5p
AKT3|ENST00000673466.1|31,AKT3:miR-1193
AKT3|ENST00000673466.1|31,AKT3:miR-186-5p
AKT3|ENST00000673466.1|32,AKT3:miR-1193
AKT3|ENST00000673466.1|32,AKT3:miR-186-5p
AKT3|ENST00000673466.1|37,AKT3:miR-124-3p.1
AKT3|ENST00000673466.1|38,AKT3:miR-124-3p.1
AKT3|ENST00000673466.1|40,AKT3:miR-145-5p
AKT3|ENST00000673466.1|40,AKT3:miR-181-5p
AKT3|ENST00000673466.1|40,AKT3:miR-338-3p
AKT3|ENST00000673466.1|6,AKT3:miR-124-3p.1
AKT3|ENST00000673466.1|6,AKT3:miR-124-3p.2/506-3p
AKT3|ENST00000673466.1|6,AKT3:miR-181-5p
AKT3|ENST00000673466.1|7,AKT3:miR-124-3p.1
AKT3|ENST00000673466.1|7,AKT3:miR-124-3p.2/506-3p
AKT3|ENST00000673466.1|7,AKT3:miR-181-5p
AKT3|ENST00000673466.1|7,AKT3:miR-181-5p
AKT3|ENST00000673466.1|7,AKT3:miR-217
AKT3|ENST00000673466.1|8,AKT3:miR-17-5p/20-5p/93-5p/106-5p/519-3p
AKT3|ENST00000673466.1|8,AKT3:miR-181-5p
AKT3|ENST00000673466.1|8,AKT3:miR-217
AKT3|ENST00000673466.1|9,AKT3:miR-150-5p
AKT3|ENST00000673466.1|9,AKT3:miR-17-5p/20-5p/93-5p/106-5p/519-3p
AKT3|ENST00000673466.1|9,AKT3:miR-212-5p
ALDH1A2|ENST00000249750.9|12,ALDH1A2:miR-137
ALDH1A2|ENST00000249750.9|12,ALDH1A2:miR-23-3p
ALDH1A2|ENST00000249750.9|13,ALDH1A2:miR-137
ALDH1A2|ENST00000249750.9|13,ALDH1A2:miR-23-3p
ALX4|ENST00000652299.1|1,ALX4:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ALX4|ENST00000652299.1|1,ALX4:miR-302-3p/372-3p/373-3p/520-3p
ALX4|ENST00000652299.1|1,ALX4:miR-331-3p
ALX4|ENST00000652299.1|1,ALX4:miR-485-5p
ALX4|ENST00000652299.1|22,ALX4:miR-21-5p/590-5p
ALX4|ENST00000652299.1|23,ALX4:miR-15-5p/16-5p/195-5p/424-5p/497-5p
ALX4|ENST00000652299.1|23,ALX4:miR-21-5p/590-5p
ALX4|ENST00000652299.1|24,ALX4:miR-15-5p/16-5p/195-5p/424-5p/497-5p
ALX4|ENST00000652299.1|24,ALX4:miR-26-5p
ALX4|ENST00000652299.1|25,ALX4:miR-26-5p
ALX4|ENST00000652299.1|25,ALX4:miR-490-3p
ALX4|ENST00000652299.1|26,ALX4:miR-490-3p
ALX4|ENST00000652299.1|28,ALX4:miR-142-5p
ALX4|ENST00000652299.1|28,ALX4:miR-199-3p
ALX4|ENST00000652299.1|28,ALX4:miR-205-5p
ALX4|ENST00000652299.1|28,ALX4:miR-340-5p
ALX4|ENST00000652299.1|29,ALX4:miR-142-5p
ALX4|ENST00000652299.1|29,ALX4:miR-199-3p
ALX4|ENST00000652299.1|29,ALX4:miR-205-5p
ALX4|ENST00000652299.1|29,ALX4:miR-33-5p
ALX4|ENST00000652299.1|29,ALX4:miR-340-5p
ALX4|ENST00000652299.1|30,ALX4:miR-33-5p
ALX4|ENST00000652299.1|31,ALX4:miR-130-3p/301-3p/454-3p
ALX4|ENST00000652299.1|31,ALX4:miR-302-3p/372-3p/373-3p/520-3p
ALX4|ENST00000652299.1|31,ALX4:miR-31-5p
ALX4|ENST00000652299.1|32,ALX4:miR-130-3p/301-3p/454-3p
ALX4|ENST00000652299.1|32,ALX4:miR-137
ALX4|ENST00000652299.1|32,ALX4:miR-25-3p/32-5p/92-3p/363-3p/367-3p
ALX4|ENST00000652299.1|32,ALX4:miR-302-3p/372-3p/373-3p/520-3p
ALX4|ENST00000652299.1|32,ALX4:miR-31-5p
ANK2|ENST00000357077.9|11,ANK2:miR-452-5p/892-3p
ANK2|ENST00000357077.9|12,ANK2:miR-452-5p/892-3p
ANK2|ENST00000357077.9|15,ANK2:miR-128-3p
ANK2|ENST00000357077.9|15,ANK2:miR-142-3p.2
ANK2|ENST00000357077.9|15,ANK2:miR-144-3p
ANK2|ENST00000357077.9|15,ANK2:miR-26-5p
ANK2|ENST00000357077.9|15,ANK2:miR-27-3p
ANK2|ENST00000357077.9|15,ANK2:miR-376-3p
ANK2|ENST00000357077.9|16,ANK2:miR-128-3p
ANK2|ENST00000357077.9|16,ANK2:miR-141-3p/200a-3p
ANK2|ENST00000357077.9|16,ANK2:miR-142-3p.2
ANK2|ENST00000357077.9|16,ANK2:miR-142-3p.2
ANK2|ENST00000357077.9|16,ANK2:miR-144-3p
ANK2|ENST00000357077.9|16,ANK2:miR-26-5p
ANK2|ENST00000357077.9|16,ANK2:miR-27-3p
ANK2|ENST00000357077.9|16,ANK2:miR-376-3p
ANK2|ENST00000357077.9|16,ANK2:miR-493-5p
ANK2|ENST00000357077.9|16,ANK2:miR-655-3p
ANK2|ENST00000357077.9|1,ANK2:miR-140-3p.2
ANK2|ENST00000357077.9|1,ANK2:miR-205-5p
ANK2|ENST00000357077.9|1,ANK2:miR-302c-3p.2/520-3p
ANK2|ENST00000357077.9|2,ANK2:miR-133a-3p.2/133b
ANK2|ENST00000357077.9|2,ANK2:miR-9-5p
ANK2|ENST00000357077.9|3,ANK2:miR-133a-3p.2/133b
ANK2|ENST00000357077.9|3,ANK2:miR-9-5p
ANK2|ENST00000357077.9|8,ANK2:miR-139-5p
ANK2|ENST00000357077.9|8,ANK2:miR-148-3p/152-3p
ANKRD11|ENST00000301030.10|3,ANKRD11:miR-383-5p.1
ANKRD11|ENST00000301030.10|4,ANKRD11:miR-136-5p
ANKRD11|ENST00000301030.10|4,ANKRD11:miR-142-3p.1
ANKRD11|ENST00000301030.10|4,ANKRD11:miR-142-3p.2
ANKRD11|ENST00000301030.10|4,ANKRD11:miR-26-5p
ANKRD11|ENST00000301030.10|4,ANKRD11:miR-365-3p
ANKRD11|ENST00000301030.10|4,ANKRD11:miR-760
ANOS1|ENST00000262648.8|27,KAL1:miR-199-3p
ANOS1|ENST00000262648.8|28,KAL1:miR-139-5p
ANOS1|ENST00000262648.8|28,KAL1:miR-199-3p
ANOS1|ENST00000262648.8|29,KAL1:miR-139-5p
ANOS1|ENST00000262648.8|30,KAL1:miR-139-5p
ANXA7|ENST00000372921.10|1,ANXA7:miR-10-5p
ANXA7|ENST00000372921.10|1,ANXA7:miR-124-3p.1
ANXA7|ENST00000372921.10|1,ANXA7:miR-124-3p.2/506-3p
ANXA7|ENST00000372921.10|1,ANXA7:miR-135-5p
ANXA7|ENST00000372921.10|1,ANXA7:miR-137
ANXA7|ENST00000372921.10|1,ANXA7:miR-190-5p
ANXA7|ENST00000372921.10|1,ANXA7:miR-19-3p
ANXA7|ENST00000372921.10|1,ANXA7:miR-219-5p
ANXA7|ENST00000372921.10|1,ANXA7:miR-504-5p.1
ANXA7|ENST00000372921.10|2,ANXA7:miR-124-3p.1
ANXA7|ENST00000372921.10|2,ANXA7:miR-124-3p.2/506-3p
ANXA7|ENST00000372921.10|2,ANXA7:miR-135-5p
ANXA7|ENST00000372921.10|2,ANXA7:miR-190-5p
ANXA7|ENST00000372921.10|2,ANXA7:miR-19-3p
ANXA7|ENST00000372921.10|2,ANXA7:miR-219-5p
AP1S2|ENST00000672987.1|10,AP1S2:miR-218-5p
AP1S2|ENST00000672987.1|11,AP1S2:miR-218-5p
AP1S2|ENST00000672987.1|1,AP1S2:miR-139-5p
AP1S2|ENST00000672987.1|1,AP1S2:miR-200bc-3p/429
AP1S2|ENST00000672987.1|1,AP1S2:miR-204-5p/211-5p
AP1S2|ENST00000672987.1|2,AP1S2:miR-204-5p/211-5p
AP1S2|ENST00000672987.1|2,AP1S2:miR-9-5p
AP1S2|ENST00000672987.1|3,AP1S2:miR-204-5p/211-5p
AP1S2|ENST00000672987.1|3,AP1S2:miR-9-5p
AP1S2|ENST00000672987.1|3,AP1S2:miR-9-5p
AP1S2|ENST00000672987.1|4,AP1S2:miR-204-5p/211-5p
AP1S2|ENST00000672987.1|4,AP1S2:miR-9-5p
APC|ENST00000257430.9|10,APC:miR-26-5p
APC|ENST00000257430.9|1,APC:miR-135-5p
APC|ENST00000257430.9|1,APC:miR-150-5p
APC|ENST00000257430.9|1,APC:miR-494-3p
APC|ENST00000257430.9|1,APC:miR-653-5p
APC|ENST00000257430.9|4,APC:miR-101-3p.2
APC|ENST00000257430.9|4,APC:miR-1298-5p
APC|ENST00000257430.9|4,APC:miR-27-3p
APC|ENST00000257430.9|4,APC:miR-330-3p
APC|ENST00000257430.9|4,APC:miR-330-3p.2
APC|ENST00000257430.9|4,APC:miR-501-3p/502-3p
APC|ENST00000257430.9|4,APC:miR-582-5p
APC|ENST00000257430.9|5,APC:miR-101-3p.2
APC|ENST00000257430.9|5,APC:miR-1298-5p
APC|ENST00000257430.9|5,APC:miR-1306-5p
APC|ENST00000257430.9|5,APC:miR-381-3p
APC|ENST00000257430.9|5,APC:miR-501-3p/502-3p
APC|ENST00000257430.9|5,APC:miR-582-5p
APC|ENST00000257430.9|6,APC:miR-1306-5p
APC|ENST00000257430.9|6,APC:miR-203a-3p.1
APC|ENST00000257430.9|6,APC:miR-381-3p
APC|ENST00000257430.9|6,APC:miR-655-3p
APC|ENST00000257430.9|6,APC:miR-802
APC|ENST00000257430.9|7,APC:miR-101-3p.1
APC|ENST00000257430.9|7,APC:miR-101-3p.2
APC|ENST00000257430.9|7,APC:miR-144-3p
APC|ENST00000257430.9|7,APC:miR-153-3p
APC|ENST00000257430.9|7,APC:miR-155-5p
APC|ENST00000257430.9|7,APC:miR-203a-3p.1
APC|ENST00000257430.9|7,APC:miR-302-3p/372-3p/373-3p/520-3p
APC|ENST00000257430.9|7,APC:miR-582-5p
APC|ENST00000257430.9|7,APC:miR-655-3p
APC|ENST00000257430.9|7,APC:miR-802
APC|ENST00000257430.9|7,APC:miR-873-5p.1
APC|ENST00000257430.9|8,APC:miR-101-3p.1
APC|ENST00000257430.9|8,APC:miR-101-3p.2
APC|ENST00000257430.9|8,APC:miR-144-3p
APC|ENST00000257430.9|8,APC:miR-153-3p
APC|ENST00000257430.9|8,APC:miR-155-5p
APC|ENST00000257430.9|8,APC:miR-302-3p/372-3p/373-3p/520-3p
APC|ENST00000257430.9|8,APC:miR-582-5p
APC|ENST00000257430.9|8,APC:miR-873-5p.1
APC|ENST00000257430.9|9,APC:miR-26-5p
AR|ENST00000374690.9|1,AR:miR-124-3p.1
AR|ENST00000374690.9|1,AR:miR-130-3p/301-3p/454-3p
AR|ENST00000374690.9|31,AR:miR-9-5p
AR|ENST00000374690.9|32,AR:miR-9-5p
AR|ENST00000374690.9|34,AR:miR-130-3p/301-3p/454-3p
AR|ENST00000374690.9|34,AR:miR-19-3p
AR|ENST00000374690.9|35,AR:miR-130-3p/301-3p/454-3p
AR|ENST00000374690.9|35,AR:miR-19-3p
ARID1B|ENST00000636930.2|10,ARID1B:miR-128-3p
ARID1B|ENST00000636930.2|10,ARID1B:miR-142-5p
ARID1B|ENST00000636930.2|10,ARID1B:miR-27-3p
ARID1B|ENST00000636930.2|10,ARID1B:miR-302c-3p.2/520-3p
ARID1B|ENST00000636930.2|10,ARID1B:miR-340-5p
ARID1B|ENST00000636930.2|10,ARID1B:miR-493-5p
ARID1B|ENST00000636930.2|11,ARID1B:miR-128-3p
ARID1B|ENST00000636930.2|11,ARID1B:miR-27-3p
ARID1B|ENST00000636930.2|11,ARID1B:miR-302c-3p.2/520-3p
ARID1B|ENST00000636930.2|14,ARID1B:miR-132-3p/212-3p
ARID1B|ENST00000636930.2|15,ARID1B:miR-132-3p/212-3p
ARID1B|ENST00000636930.2|1,ARID1B:miR-9-5p
ARID1B|ENST00000636930.2|21,ARID1B:miR-29-3p
ARID1B|ENST00000636930.2|2,ARID1B:miR-9-5p
ARID1B|ENST00000636930.2|3,ARID1B:miR-25-3p/32-5p/92-3p/363-3p/367-3p
ARID1B|ENST00000636930.2|4,ARID1B:miR-25-3p/32-5p/92-3p/363-3p/367-3p
ARID1B|ENST00000636930.2|5,ARID1B:miR-219a-2-3p
ARID1B|ENST00000636930.2|6,ARID1B:miR-140-3p.2
ARID1B|ENST00000636930.2|6,ARID1B:miR-219a-2-3p
ARID1B|ENST00000636930.2|7,ARID1B:miR-140-3p.2
ARID1B|ENST00000636930.2|7,ARID1B:miR-323-3p
ARID1B|ENST00000636930.2|7,ARID1B:miR-493-5p
ARID1B|ENST00000636930.2|8,ARID1B:miR-323-3p
ARID1B|ENST00000636930.2|8,ARID1B:miR-382-5p
ARID1B|ENST00000636930.2|8,ARID1B:miR-493-5p
ARID1B|ENST00000636930.2|9,ARID1B:miR-142-5p
ARID1B|ENST00000636930.2|9,ARID1B:miR-340-5p
ARID1B|ENST00000636930.2|9,ARID1B:miR-382-5p
ARID2|ENST00000334344.11|10,ARID2:miR-132-3p/212-3p
ARID2|ENST00000334344.11|10,ARID2:miR-217
ARID2|ENST00000334344.11|10,ARID2:miR-873-5p.2
ARID2|ENST00000334344.11|11,ARID2:miR-132-3p/212-3p
ARID2|ENST00000334344.11|11,ARID2:miR-217
ARID2|ENST00000334344.11|19,ARID2:miR-376c-3p
ARID2|ENST00000334344.11|1,ARID2:miR-132-3p/212-3p
ARID2|ENST00000334344.11|1,ARID2:miR-144-3p
ARID2|ENST00000334344.11|1,ARID2:miR-194-5p
ARID2|ENST00000334344.11|1,ARID2:miR-203a-3p.1
